count,mean,std,min,25%,50%,75%,max
26.0,0.6153846153846154,0.9829312519977407,0.0,0.0,0.0,1.0,3.0
26.0,1.8461538461538463,1.0466062370273814,0.0,1.0,2.0,3.0,3.0
26.0,2.1923076923076925,0.5670436151994497,2.0,2.0,2.0,2.0,4.0
26.0,4.153846153846154,2.7083915181126628,0.0,2.25,4.0,6.75,9.0
26.0,1.7692307692307692,1.0698669938900744,0.0,1.0,2.0,2.75,3.0
26.0,0.5,1.174734012447073,0.0,0.0,0.0,0.0,4.0
26.0,1.4230769230769231,1.3906279710426344,0.0,0.0,1.0,2.0,4.0
26.0,3.1923076923076925,1.096147098494751,1.0,2.25,4.0,4.0,4.0
26.0,1.5384615384615385,0.7605665904189708,0.0,1.0,2.0,2.0,3.0
26.0,0.15384615384615385,0.46409548089225716,0.0,0.0,0.0,0.0,2.0
26.0,2.9615384615384617,1.1482428046635165,1.0,2.0,3.0,4.0,4.0
26.0,1.6923076923076923,0.970329048075168,0.0,1.0,2.0,2.0,3.0
26.0,1.1923076923076923,1.1668498024760776,0.0,0.0,1.0,2.0,3.0
26.0,1.6538461538461537,0.7452413135250993,0.0,2.0,2.0,2.0,2.0
26.0,0.7307692307692307,0.6038339048243188,0.0,0.0,1.0,1.0,2.0
26.0,1.2307692307692308,0.6516251872168423,1.0,1.0,1.0,1.0,4.0
26.0,2.1153846153846154,0.9089300556994725,0.0,2.0,2.0,3.0,3.0
26.0,1.1153846153846154,0.32581259360842113,1.0,1.0,1.0,1.0,2.0
26.0,0.5,0.5099019513592785,0.0,0.0,0.5,1.0,1.0
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
26.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
