count,mean,std,min,25%,50%,75%,max
149.0,2.1073825503355703,1.1158619235354141,0.0,1.0,3.0,3.0,3.0
149.0,1.0671140939597314,1.0884183263391098,0.0,0.0,1.0,2.0,3.0
149.0,2.8053691275167787,1.0441461813172372,0.0,2.0,2.0,4.0,4.0
149.0,3.3624161073825505,2.5153978920668743,0.0,1.0,4.0,4.0,9.0
149.0,1.3557046979865772,1.0531408975276517,0.0,0.0,1.0,2.0,3.0
149.0,1.3288590604026846,1.68235257183141,0.0,0.0,0.0,3.0,4.0
149.0,2.5436241610738257,1.2107805248732317,0.0,2.0,3.0,4.0,4.0
149.0,2.9731543624161074,1.1086046057802539,1.0,2.0,3.0,4.0,4.0
149.0,1.7718120805369129,0.6588360474508376,0.0,1.0,2.0,2.0,3.0
149.0,0.18120805369127516,0.5581544307656694,0.0,0.0,0.0,0.0,2.0
149.0,2.87248322147651,1.1167556206577307,1.0,2.0,3.0,4.0,4.0
149.0,1.261744966442953,1.055205712968127,0.0,0.0,1.0,2.0,3.0
149.0,1.651006711409396,1.1562180572455174,0.0,1.0,2.0,3.0,3.0
149.0,1.7315436241610738,0.6741448284851432,0.0,2.0,2.0,2.0,2.0
149.0,0.9932885906040269,0.472152121261982,0.0,1.0,1.0,1.0,2.0
149.0,1.5100671140939597,0.6326419257969509,1.0,1.0,1.0,2.0,3.0
149.0,1.8053691275167785,0.6845579787992739,0.0,1.0,2.0,2.0,3.0
149.0,1.1610738255033557,0.368838829776377,1.0,1.0,1.0,1.0,2.0
149.0,0.3825503355704698,0.48764901307109293,0.0,0.0,0.0,1.0,1.0
149.0,0.04697986577181208,0.21230938890897122,0.0,0.0,0.0,0.0,1.0
149.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
149.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
